type,subtype,2012,2013,2014
Criminal Offenses,Burglary,20443,17412,15457
Criminal Offenses,Forcible Sex Offenses,4942,6051,5187
Criminal Offenses,Rape,0,0,5187
Criminal Offenses,Motor Vehicle Theft,5584,5374,5049
Criminal Offenses,Aggravated Assault,4506,4131,3890
Criminal Offenses,Robbery,4179,3706,3231
Criminal Offenses,Fondling,0,0,2709
Criminal Offenses,Arson,809,735,689
Criminal Offenses,Non Forcible Sex Offenses,72,59,67
Criminal Offenses,Statutory Rape,0,0,67
Criminal Offenses,Murder,32,43,34
